OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
212,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,212,16.8051259147321
213,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,213,21.1881783258967
214,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,214,16.2804538895573
215,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,215,110.696903382846
216,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,216,31.801113461324
217,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,217,124.649258471298
218,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,218,75.9204974064582
219,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,,2016-04-19,219,17.5008769965965
220,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,220,70.7140267462215
221,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,221,83.2072577339637
222,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,222,115.056459033452
223,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,223,123.844672338562
224,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,224,227.613971043421
225,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,225,12.1119515541468
226,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,226,22.8196817374827
227,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,227,24.3603181623311
228,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,228,108.013985641536
229,TRAIL,MULTI-USE PATHWAY,SURFACE,TAR AND CHIP,2.5,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,229,106.493490418544
